company_name,coman_status,source,city,state,website,sales_usd,employees_total,ownership_type,parent_company,naics,business_description,segment_if_known,n_contacts,n_contacts_email_avail,sweep_key_person,sweep_source_urls
"El-milagro, Inc.",unclassified food/bev mfr,hoovers,Chicago,Illinois,http://www.el-milagro.com,6.4373665E7,540,Private,"El-milagro, Inc.",311830,"El-Milagro, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut ",,3,0,,
"Elan Chemical Co., Inc.",unclassified food/bev mfr,hoovers,Newark,New Jersey,http://www.elan-chemical.com,2.3532764E7,68,Private,"Elan Chemical Co., Inc.",311942,"Elan Chemical Co., Inc. is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufacture of soft ",,3,1,,
"Elite Spice, Inc.",unclassified food/bev mfr,hoovers,Jessup,Maryland,http://www.elitespice.com,5.088485E7,581,Private,"Elite Spice, Inc.",311942,"Elite Spice, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut",,3,0,,
"Elmer Candy, LLC",unclassified food/bev mfr,hoovers,Ponchatoula,Louisiana,http://www.elmerchocolate.com,2.9420502E7,300,Private,,311351,"Elmer Candy Corporation makes Eastersweet. Although it has been in business since 1855,the companybegan focusing on seasonal (Christmas, Easter, and Valentine's Day)candy in the 1970s, following the i",,3,2,,
Emergy Inc.,unclassified food/bev mfr,hoovers,Boulder,Colorado,http://www.meati.com,2.9904743E7,200,Private,,311999,"Emergy Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut butte",,3,0,,
"Emmi Roth USA, Inc.",unclassified food/bev mfr,hoovers,Stoughton,Wisconsin,http://www.emmiroth.com,8.9038658E7,231,Private,Emmi Schweiz AG,311513,"Emmi Roth Usa, Inc. is primarily engaged in manufacturing natural cheese (except cottage cheese), processed cheese, cheese foods, cheese spreads, and cheese analogs (imitations and substitutes). These",,3,3,,
"Empacadora Y Procesadora Del Sur, Inc.",unclassified food/bev mfr,hoovers,Coamo,Puerto Rico,,2.3371246E7,100,Private,,311612,"Empacadora Y Procesadora Del Sur, Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purcha",,1,0,,
"Enfield Farms, Inc.",unclassified food/bev mfr,hoovers,Lynden,Washington,http://www.enfieldfarms.com,2.3779278E7,107,Private,,311421,"Enfield Farms, Inc. is primarily engaged in canning fruits, vegetables, and fruit and vegetable juices; and in manufacturing catsup and similar tomato sauces, or natural and imitation preserves, jams,",,3,1,,
"Epic Enterprises, Inc.",unclassified food/bev mfr,hoovers,Ayer,Massachusetts,http://www.epicenterprisesinc.com,3.1140648E7,85,Private,"PepsiCo, Inc.",312111,"Epic Enterprises, Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.",,3,1,,
Equity Group - Georgia Division LLC,unclassified food/bev mfr,hoovers,Camilla,Georgia,,2.3708387E7,2900,Private,"Tyson Foods, Inc.",311615,"Equity Group - Georgia Division Llc is primarily engaged in slaughtering, dressing, packing, freezing, and canning poultry, rabbits, and other small game, or in manufacturing products from such meats,",,3,0,,
Espresso Disposition Corporation 1,unclassified food/bev mfr,hoovers,Miami,Florida,,2.3767181E7,220,Private,The J. M. Smucker Company,311920,"There's a rich aromacoming from Florida,home ofRowland Coffee Roasters. One of North America's largest producers of coffee products, the company is known forespresso.Rowlandroasts some80% of all espre",,3,0,,
"Euro Foods, Inc.",unclassified food/bev mfr,hoovers,Freeland,Pennsylvania,http://usa.citterio.com,5.170052E7,250,Private,"Euro Foods, Inc.",311612,"Euro Foods, Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carcasses and othe",,3,1,,
"Europastry USA, Inc.",unclassified food/bev mfr,hoovers,Ronkonkoma,New York,http://www.europastry.com,9.8539093E7,425,Private,"Europastry USA, Inc.",311812,"Europastry Usa, Inc. is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,0,,
"Evans Foods, Inc.",unclassified food/bev mfr,hoovers,Chicago,Illinois,http://www.benestarbrands.com,4.7780426E7,100,Private,Evans Food Group Ltd.,311919,"Evans Food Products has something to oink about. The company manufactures pork rinds and pork cracklings under the Macs, La Tonita, Bills, and Porkie brand names. Its products are available at retaile",,3,2,,
F M Brown's Sons Incorporated,unclassified food/bev mfr,hoovers,Reading,Pennsylvania,http://www.fmbrown.com,3.1659817E7,200,Private,F M Brown's Sons Incorporated,311211,"F M Brown's Sons Incorporated is primarily engaged in milling flour or meal from grain, except rice. The products of flour mills may be sold plain or in the form of prepared mixes or doughs for specif",,3,2,,
"F'real! Foods, LLC",unclassified food/bev mfr,hoovers,Emeryville,California,http://www.freal.com,2.1997345E7,100,Private,Rich Products Corporation,311514,"F'real! Foods, Llc is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream and ice milk and ",,3,3,,
"F. B. Purnell Sausage Co., Inc.",unclassified food/bev mfr,hoovers,Simpsonville,Kentucky,http://www.itsgooo-od.com,2.4142372E7,80,Private,,311612,"F. B. Purnell Sausage manufactures processed meat products under the Old Folks brand name. The company operates a processing facility in Kentucky; its products, including frozen breakfast and dinner s",,3,1,,
F. Gavina & Sons Inc.,unclassified food/bev mfr,hoovers,Vernon,California,http://www.gavina.com,2.4333788E7,260,Private,F. Gavina & Sons Inc.,311920,Coffee lovers can turn to this family for their cup of joe. F. Gavia & Sons is one of the largest wholesale suppliers of roasted coffee in the western US. It distributes whole bean and ground coffee t,,3,0,,
F. Korbel & Bros.,unclassified food/bev mfr,hoovers,Guerneville,California,http://www.korbel.com,4.2086529E7,256,Private,F. Korbel & Bros.,312130,Korbel produces champagnes and other wines from the fruit of its vineyards and the products of its winery and distillery that are situated along California's Russian River in western Sonoma County. Lo,,3,2,,
"FCH Enterprises, Inc.",unclassified food/bev mfr,hoovers,Honolulu,Hawaii,http://www.fchenterprises.com,2.9481607E7,2000,Private,"FCH Enterprises, Inc.",311999,"Fch Enterprises, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; pe",,3,1,,
FGF LLC,unclassified food/bev mfr,hoovers,San Antonio,Texas,http://www.fgfbrands.com,1.5826904E8,1581,Private,FGF Brands Inc,311812,"Fgf Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,0,,
"FISCHER & WIESER SPECIALTY FOODS, INC.",unclassified food/bev mfr,hoovers,Fredericksburg,Texas,http://www.jelly.com,2.4900135E7,75,Private,"FISCHER & WIESER SPECIALTY FOODS, INC.",311412,"Fischer & Wieser Specialty Foods, Inc. is primarily engaged in manufacturing frozen food specialties, not elsewhere classified, such as frozen dinners and frozen pizza.",,3,3,,
FPL Food LLC,unclassified food/bev mfr,hoovers,Augusta,Georgia,http://www.fplfood.net,1.6154163E8,800,Private,FPL Food LLC,311611,"Fpl Food Llc is primarily engaged in the slaughtering, for their own account or on a contract basis for the trade, of cattle, hogs, sheep, lambs, and calves for meat to be sold or to be used on the sa",,3,0,,
"Fair Oaks Foods, L.L.C.",unclassified food/bev mfr,hoovers,Pleasant Prairie,Wisconsin,,4.8798988E7,550,Private,"Fair Oaks Foods, L.L.C.",311612,"Fair Oaks Farms produces a variety of fresh, ready-to-cook, and fully cooked beef, pork, and poultry products. The company distributesto restaurants and foodservice operators. Custom specialties inclu",,3,3,,
Fairfield Gourmet Food Corp.,unclassified food/bev mfr,hoovers,Cedar Grove,New Jersey,http://www.davidscookies.com,4.3451303E8,2970,Private,Fairfield Gourmet Food Corp.,311821,"Fairfield Gourmet Food Corp. is primarily engaged in manufacturing fresh cookies, crackers, pretzels, and similar ""dry"" bakery products.",,3,0,,
"Fairmont Foods, Inc.",unclassified food/bev mfr,hoovers,Fairmont,Minnesota,http://www.downsfoodgroup.com,4.9112225E7,255,Private,Tony Downs Foods Co.,311412,"Fairmont Foods, Inc. is primarily engaged in manufacturing frozen food specialties, not elsewhere classified, such as frozen dinners and frozen pizza.",,3,3,,
Falcon Trading Company,unclassified food/bev mfr,hoovers,Royal Oaks,California,http://www.shopsunridgefarms.com,5.2024269E7,215,Private,Falcon Trading Company,311999,"Falcon Trading Company is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; p",,3,2,,
"Farbest Foods, Inc.",unclassified food/bev mfr,hoovers,Jasper,Indiana,http://www.farbestfoods.com,4.3761963E7,900,Private,,311615,"Farbest Foods, Inc. is primarily engaged in slaughtering, dressing, packing, freezing, and canning poultry, rabbits, and other small game, or in manufacturing products from such meats, for their own a",,3,1,,
"Farm Cut, LLC",unclassified food/bev mfr,hoovers,Lakeland,Florida,http://www.marjonspecialtyfoods.com,6.5E7,277,Private,,311999,"Farm Cut, Llc is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut but",,3,2,,
Farmer Bros. Co.,unclassified food/bev mfr,hoovers,Fort Worth,Texas,http://www.farmerbros.com,3.4228101E8,848,Public,Royal Cup Inc.,311920,"Farmer Bros Co (Farmer Bros) is a coffee roaster, distributor and wholesaler of coffee, tea and culinary products. The company’s product portfolio includes roasted and ground coffee, iced coffee, orga",,3,0,,
"Farmers Co-operative Society, Sioux Center, Iowa",unclassified food/bev mfr,hoovers,Sioux Center,Iowa,http://www.farmerscoopsociety.com,3.8E8,160,Private,"Farmers Co-operative Society, Sioux Center, Iowa",311119,"When farmers cooperate, society benefits. Through its seven centers in northwest Iowa, Farmers Cooperative Society offers its member/farmers a full range of agricultural growing and marketing products",,3,3,,
"Farmers Pride, Inc.",unclassified food/bev mfr,hoovers,Fredericksburg,Pennsylvania,http://www.bellandevans.com,1.77405E8,1050,Private,"SECHLER FAMILY FOODS, INC.",311615,"Why did the chicken cross the road? Answer: To become part of the portfolio of poultry products offered by Farmer's Pride. Doing business as Bell & Evans, the company produces fresh, organic chicken a",,3,0,,
Farmers Union Marketing & Processing Association,unclassified food/bev mfr,hoovers,Redwood Falls,Minnesota,http://www.fuillc.com,2.0860661E7,500,Nonprofit,"Farmers Union Industries, LLC",311119,"Farmers Union Marketing & Processing Association is primarily engaged in manufacturing prepared feeds and feed ingredients and adjuncts for animals and fowls, except dogs and cats. Included in this in",,1,0,,
"Farmington Foods, Inc.",unclassified food/bev mfr,hoovers,Forest Park,Illinois,http://www.farmingtonfoods.com,2.2553007E7,310,Private,,311612,"Farmington Foods takes food from the farm, adds value, and sells the results. The company processes, markets, and distributes Value-added pork products, including pork loin, chops, and ribs. Its Lean ",,3,2,,
"Faygo Beverages, Inc.",unclassified food/bev mfr,hoovers,Detroit,Michigan,http://www.faygo.com,2.9539568E7,450,Private,"Newbevco, Inc.",312111,Faygo Beverages believes in flavor. Old-fashioned flavor --its products are made with cane sugar (rather thanhigh-fructose corn syrup) and are packaged in gen u ine glass bottles. The companymanufactu,,3,2,,
"Feihe International, Inc.",unclassified food/bev mfr,hoovers,San Marino,California,,8.8189667E7,4932,Private,"Feihe International, Inc.",311514,"Feihe International, Inc. is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream and ice mi",,3,1,,
Ferrara Candy Company,unclassified food/bev mfr,hoovers,Chicago,Illinois,http://www.ferrara.com,7.0030853E8,1100,Private,FERRERO INTERNATIONAL S.A.,311340,"Ferrara Candy Company is primarily engaged in manufacturing candy, including chocolate candy, other confections, and related products.",,3,3,,
Fetzer Vineyards,unclassified food/bev mfr,hoovers,Hopland,California,http://www.fetzer.com,3.9439365E7,260,Private,Vina Concha y Toro S.A.,312130,"Fetzer Vineyards is primarily engaged in manufacturing wines, brandy, and brandy spirits. This industry also includes bonded wine cellars which are engaged in blending wines.",,3,0,,
Fieldale Farms Corporation,unclassified food/bev mfr,hoovers,Baldwin,Georgia,http://www.fieldale.com,5.2299072E8,4800,Private,Fieldale Farms Corporation,311615,"Fieldale Farms Corporation is one of the largest independent poultry producers in the world. With several production plants, the poultry-processing company produces fresh and frozen chicken and chicke",,3,2,,
Fieldbrook Foods Corporation,unclassified food/bev mfr,hoovers,Dunkirk,New York,http://www.wellsenterprisesinc.com,4.6231384E7,350,Private,"Wells Enterprises, Inc.",311520,Fieldbrook Foods Corporation is primarily engaged in manufacturing ice cream and other frozen desserts.,,3,0,,
"Fiesta Canning Co., Inc.",unclassified food/bev mfr,hoovers,Mc Neal,Arizona,http://www.fiestacanning.org,3.0E7,75,Private,,311421,"Fiesta Canning Co., Inc. is primarily engaged in canning fruits, vegetables, and fruit and vegetable juices; and in manufacturing catsup and similar tomato sauces, or natural and imitation preserves, ",,3,1,,
"Finlay Extracts & Ingredients USA, Inc.",unclassified food/bev mfr,hoovers,Lincoln,Rhode Island,http://www.finlays.net,1.2580228E8,336,Private,"James Finlay International, Inc.",311920,"Finlay Extracts & Ingredients Usa, Inc. is primarily engaged in roasting coffee, and in manufacturing coffee concentrates and extracts in powdered, liquid, or frozen form, including freeze-dried.",,3,0,,
"Firestone Walker, Inc.",unclassified food/bev mfr,hoovers,Paso Robles,California,http://www.firestonewalker.com,4.7395897E7,500,Private,"Firestone Walker, Inc.",312120,"Firestone Walker, Inc. is primarily engaged in manufacturing malt beverages.",,3,3,,
"Firstclass Foods - Trojan, Inc.",unclassified food/bev mfr,hoovers,Hawthorne,California,,2.0205126E7,135,Private,"US Foods, Inc.",311611,"Firstclass Foods - Trojan, Inc. is primarily engaged in the slaughtering, for their own account or on a contract basis for the trade, of cattle, hogs, sheep, lambs, and calves for meat to be sold or t",,2,0,,
"Five Star Gourmet Foods, Inc.",unclassified food/bev mfr,hoovers,Rancho Cucamonga,California,http://www.fivestargourmetfoods.com,5.135376E7,1500,Private,"Five Star Gourmet Foods, Inc.",311991,"Five Star Gourmet Foods, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compo",,3,0,,
"Flavor & Fragrance Specialties, Inc.",unclassified food/bev mfr,hoovers,Mahwah,New Jersey,http://www.ffs.com,4.729845E7,100,Private,"Flavor & Fragrance Specialties, Inc.",311942,"Flavor & Fragrance Specialties, Inc. is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufac",,3,2,,
"Flavor Producers, LLC",unclassified food/bev mfr,hoovers,West Hills,California,http://www.flavorproducers.com,6.569246699999999E7,200,Private,"Flavor Producers, LLC",311930,"Flavor Producers, Llc is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufacture of soft dr",,1,0,,
FlavorSum LLC,unclassified food/bev mfr,hoovers,Kalamazoo,Michigan,http://www.flavorsum.com,2.1758812E7,80,Private,FlavorSum LLC,311930,"Flavorsum Llc is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufacture of soft drinks, an",,3,2,,
Flavorchem Corporation,unclassified food/bev mfr,hoovers,Downers Grove,Illinois,http://www.flavorchem.com,4.7836693E7,135,Private,Flavorchem Corporation,311942,"Flavorchem Corporation is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufacture of soft d",,3,2,,
Florida Coca-Cola Bottling Company,unclassified food/bev mfr,hoovers,Brandon,Florida,http://www.ccbss.com,5.3219868E7,4000,Private,"Coca-Cola Refreshments USA, LLC",312111,Florida Coca-Cola Bottling Company is primarily engaged in manufacturing soft drinks and carbonated waters.,,3,0,,
Florida Crystals Corporation,unclassified food/bev mfr,hoovers,West Palm Beach,Florida,http://www.floridacrystals.com,5.3215778E8,2000,Private,Fanjul Corp.,311314,"Florida Crystals is Florida's largest organic farmer and the only producer of Regenerative Organic Certified sugar that is grown and milled in the US, which is offered to consumers through the Florida",,3,3,,
"Flowers Bakeries, LLC",unclassified food/bev mfr,hoovers,Thomasville,Georgia,http://www.canyonglutenfree.com,5.1408569E8,500,Private,"Flowers Foods, Inc.",311812,"Flowers Bakeries, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,2,,
"Flowers Bakery Of London, LLC",unclassified food/bev mfr,hoovers,London,Kentucky,,2.5592644E7,99,Private,"Flowers Foods, Inc.",311812,"Flowers Bakery Of London, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,1,0,,
"Flowers Baking Co. of Batesville, LLC",unclassified food/bev mfr,hoovers,Batesville,Arkansas,http://www.fbcbatesville.org,2.4793203E7,185,Private,"Flowers Foods, Inc.",311812,"Flowers Baking Co. Of Batesville, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,2,2,,
"Flowers Baking Co. of Bradenton, LLC",unclassified food/bev mfr,hoovers,Sarasota,Florida,http://www.flowersfoods.com,2.8892847E7,300,Private,"Flowers Foods, Inc.",311812,"Flowers Baking Co. Of Bradenton, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,1,,
"Flowers Baking Co. of Jamestown, LLC",unclassified food/bev mfr,hoovers,Jamestown,North Carolina,,2.5500345E7,182,Private,"Flowers Foods, Inc.",311812,"Flowers Baking Co. Of Jamestown, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,3,,
"Flowers Baking Co. of Thomasville, LLC",unclassified food/bev mfr,hoovers,Thomasville,Georgia,http://www.ilovegoats.com,3.4351994E7,125,Private,"Flowers Bakeries, LLC",311812,"Flowers Baking Co. Of Thomasville, Llc is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,2,,
"Flowers Foods, Inc.",unclassified food/bev mfr,hoovers,Thomasville,Georgia,http://www.flowersfoods.com,5.256479E9,10300,Public,"Flowers Foods, Inc.",311812,"Flowers Foods Inc (Flowers Foods) manufactures, markets, and distributes packaged bakery products. The company’s product portfolio includes bread, buns, rolls, snack cakes, and tortillas. It markets p",,3,0,,
"Fona International, LLC",unclassified food/bev mfr,hoovers,Geneva,Illinois,http://www.mccormickfona.com,4.4186138E7,282,Private,"McCormick & Company, Incorporated",311942,"Fona International, Llc is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufacture of soft ",,3,2,,
Fonterra (USA) INC,unclassified food/bev mfr,hoovers,Chicago,Illinois,http://www.fonterra.com,2.3537365E7,128,Private,FONTERRA CO-OPERATIVE GROUP LIMITED,311514,"Fonterra (Usa) Inc is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream and ice milk and ",,3,3,,
"Food For Life Baking Co., Inc.",unclassified food/bev mfr,hoovers,Corona,California,http://www.foodforlife.com,2.7954144E7,120,Private,"Food For Life Baking Co., Inc.",311812,"Food For Life Baking Co., Inc. is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",,3,1,,
"Food Ingredients Technology Company, L.L.C.",unclassified food/bev mfr,hoovers,Anniston,Alabama,,2.4979452E7,153,Partnership,,311119,"Food Ingredients Technology Company, L.L.C. is primarily engaged in manufacturing prepared feeds and feed ingredients and adjuncts for animals and fowls, except dogs and cats. Included in this industr",,3,1,,
Food Sciences Corp.,unclassified food/bev mfr,hoovers,Mount Laurel,New Jersey,http://www.foodsciences.com,3.9364918E7,330,Private,Food Sciences Corp.,311514,"Food Sciences Corp. is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream and ice milk and",,3,2,,
"Food Source, Inc.",unclassified food/bev mfr,hoovers,Mc Kinney,Texas,http://www.blountfinefoods.com,2.4682415E7,130,Private,Blount Fine Foods Corp.,311412,"Food Source, Inc. is primarily engaged in manufacturing frozen food specialties, not elsewhere classified, such as frozen dinners and frozen pizza.",,3,3,,
"Foodlink, Inc.",unclassified food/bev mfr,hoovers,Rochester,New York,http://www.foodlinkny.org,7.2318588E7,110,Nonprofit,,311991,"Foodlink, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut bu",,3,1,,
"Forbidden Fruit Ciderhouse, LLC",unclassified food/bev mfr,hoovers,Corvallis,Oregon,http://www.2townsciderhouse.com,3.8574577E7,120,Private,,311999,"Forbidden Fruit Ciderhouse, Llc is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening com",,3,2,,
"Foremost Farms USA, Cooperative",unclassified food/bev mfr,hoovers,Middleton,Wisconsin,http://www.foremostfarms.com,4.6474591E8,1150,Private,"Foremost Farms USA, Cooperative",311513,"Foremost Farms USA is one of the largest, leading dairy cooperatives in the US and a major food manufacturing business. It represents hundreds of Midwest dairy farmer members located across seven Midw",,3,0,,
Fort Peck Assiniboine & Sioux Tribes,unclassified food/bev mfr,hoovers,Poplar,Montana,http://www.fortpecktribes.org,2.6158457E7,466,Private,Fort Peck Assiniboine & Sioux Tribes,311611,"Fort Peck Assiniboine & Sioux Tribes is primarily engaged in the slaughtering, for their own account or on a contract basis for the trade, of cattle, hogs, sheep, lambs, and calves for meat to be sold",,3,3,,
"Foster Poultry Farms, LLC",unclassified food/bev mfr,hoovers,Livingston,California,http://www.fosterfarms.com,1.2505411E9,12500,Private,"Foster Poultry Farms, LLC",311615,Foster Poultry Farms is the largest poultry processor in California and a leading brand of fresh chicken in the Western US. The company is a vertically integrated producer of chicken and turkey produc,,3,1,,
"Fred Usinger, Inc.",unclassified food/bev mfr,hoovers,Milwaukee,Wisconsin,http://www.usinger.com,2.3729677E7,140,Private,"Fred Usinger, Inc.",311612,"A dedicated beer town like Milwaukee needs some sausage to ""go with"" and that's where Usinger's comes in. Fred Usinger, Inc., is a city institution known for its Old World sausage and other prepared m",,3,2,,
Fresca Mexican Foods LLC,unclassified food/bev mfr,hoovers,Caldwell,Idaho,http://www.frescamex.com,2.1612289E7,150,Private,C.H. Guenther & Son LLC,311919,"Fresca Mexican Foods Llc is primarily engaged in manufacturing potato chips, corn chips, and similar snacks.",,3,3,,
"Fresh Brew Group USA, L.P.",unclassified food/bev mfr,hoovers,Houston,Texas,http://www.freshbrewgroup.com,7.5E7,50,Partnership,,311920,"Fresh Brew Group Usa, L.P. is primarily engaged in roasting coffee, and in manufacturing coffee concentrates and extracts in powdered, liquid, or frozen form, including freeze-dried.",,3,1,,
"Fresh Mark, Inc.",unclassified food/bev mfr,hoovers,Massillon,Ohio,http://www.freshmark.com,1.537696E9,2300,Private,"Fresh Mark, Inc.",311612,"Fresh Mark is one of the leading producers of smoked and processed pork products for the domestic and international retail and foodservice industries. From its four plants in Ohio, the company makes a",,3,0,,
"Freshpet, Inc.",unclassified food/bev mfr,hoovers,Bedminster,New Jersey,http://www.freshpet.com,1.102015E9,1288,Public,"Freshpet, Inc.",311111,"Freshpet, Inc. is primarily engaged in manufacturing dog and cat food from cereal, meat, and other ingredients. These preparations may be canned, frozen, or dry.",,3,0,,
"Freshrealm, Inc.",unclassified food/bev mfr,hoovers,Lancaster,Texas,http://www.freshrealm.com,4.5486832E8,3500,Private,"Freshrealm, Inc.",311999,"Freshrealm, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut ",,3,0,,
"Frick's Meat Products, Inc",unclassified food/bev mfr,hoovers,Washington,Missouri,http://www.fricksqualitymeats.com,2.5353449E7,280,Private,,311612,"Frick's Meat Products, Inc is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carcasse",,3,2,,
"Frito-Lay North America, Inc.",unclassified food/bev mfr,hoovers,Plano,Texas,http://www.fritolay.com,4.5422607E9,40000,Private,"PepsiCo, Inc.",312111,"Frito-Lay North America (FLNA) makes some of the best-known and top-selling savory snacks in the US, including Fritos corn chips, Lay's and Ruffles potato chips, Doritos and Tostitos tortilla chips, a",,3,0,,
"Frito-Lay, Inc.",unclassified food/bev mfr,hoovers,Plano,Texas,http://www.fritolay.com,1.3163362000000001E8,497,Private,"PepsiCo, Inc.",311821,"Frito-Lay, Inc. is primarily engaged in manufacturing fresh cookies, crackers, pretzels, and similar ""dry"" bakery products.",,3,0,,
"Frozen Specialties, Inc.",unclassified food/bev mfr,hoovers,Archbold,Ohio,http://www.frozenspecialties.com,2.3753813E7,140,Private,"Bellisio Foods, Inc",311412,"Frozen Specialties' specialty arena lies in frozen pizza pies. The company makes private-label frozen pizzas (in value-priced, lean, and microwaveable variations) and a frozen pizza-flavored snack cal",,3,3,,
"FruitSmart, Inc.",unclassified food/bev mfr,hoovers,Prosser,Washington,http://www.fruitsmart.com,2.611372E7,200,Private,Universal Corporation,311999,"Fruitsmart, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut ",,3,2,,
Frutarom USA Inc.,unclassified food/bev mfr,hoovers,Cincinnati,Ohio,,3.2667431E7,125,Private,International Flavors & Fragrances Inc.,311942,"Frutarom Usa Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; peanut",,3,3,,
"Fuchs North America, Inc.",unclassified food/bev mfr,hoovers,Hampstead,Maryland,http://www.fuchsna.com,3.1025274E7,185,Private,Fuchs GmbH & Co. KG,311942,"Fuchs North America, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds",,3,1,,
"Fuji Food Products, Inc.",unclassified food/bev mfr,hoovers,Santa Fe Springs,California,http://www.fujifood.com,3.8100906E7,700,Private,"Fuji Food Products, Inc.",311999,"Fuji Food Products, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds;",,3,2,,
"Fuji Specialties, Inc.",unclassified food/bev mfr,hoovers,Savannah,Georgia,,2.1915991E7,105,Private,"FUJI OIL CO., LTD.",311999,"Fuji Specialties, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; p",,1,1,,
"Fullfillment Systems, Inc.",unclassified food/bev mfr,hoovers,Sunnyvale,California,http://www.newyorkstylesausage.com,2.3597326E7,300,Private,"Fullfillment Systems, Inc.",311612,"Fullfillment Systems, Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carcasse",,1,0,,
"Furman Foods, Inc.",unclassified food/bev mfr,hoovers,Northumberland,Pennsylvania,http://www.furmanos.com,3.641798E7,250,Private,,311421,Furman Foods has firm ideas about tomatoes and other food products. The Pennsylvania company has built a business producing a complete line of canned tomatoes and tomato products. It also offers canne,,3,2,,
